x [ft],Axial [lbf],Shear [lbf],Moment [lbf.ft],Deflection [m]
0.168,0,-16.771,-1.406,-0.0
0.168,0,-16.801,-1.411,-0.0
0.168,0,-16.83,-1.416,-0.0
0.169,0,-16.86,-1.421,-0.0
0.169,0,-16.89,-1.426,-0.0
0.169,0,-16.919,-1.431,-0.0
0.169,0,-16.949,-1.436,-0.0
0.17,0,-16.978,-1.441,-0.0
0.17,0,-17.008,-1.446,-0.0
0.17,0,-17.038,-1.451,-0.0
0.171,0,-17.067,-1.456,-0.0
0.171,0,-17.097,-1.462,-0.0
0.171,0,-17.127,-1.467,-0.0
0.172,0,-17.156,-1.472,-0.0
0.172,0,-17.186,-1.477,-0.0
0.172,0,-17.215,-1.482,-0.0
0.172,0,-17.245,-1.487,-0.0
0.173,0,-17.275,-1.492,-0.0
0.173,0,-17.304,-1.497,-0.0
0.173,0,-17.334,-1.502,-0.0
0.174,0,-17.364,-1.507,-0.0
0.174,0,-17.393,-1.513,-0.0
0.174,0,-17.423,-1.518,-0.0
0.175,0,-17.452,-1.523,-0.0
0.175,0,-17.482,-1.528,-0.0
0.175,0,-17.512,-1.533,-0.0
0.175,0,-17.541,-1.539,-0.0
0.176,0,-17.571,-1.544,-0.0
0.176,0,-17.601,-1.549,-0.0
0.176,0,-17.63,-1.554,-0.0
0.177,0,-17.66,-1.559,-0.0
0.177,0,-17.69,-1.565,-0.0
0.177,0,-17.719,-1.57,-0.0
0.177,0,-17.749,-1.575,-0.0
0.178,0,-17.778,-1.58,-0.0
0.178,0,-17.808,-1.586,-0.0
0.178,0,-17.838,-1.591,-0.0
0.179,0,-17.867,-1.596,-0.0
0.179,0,-17.897,-1.602,-0.0
0.179,0,-17.927,-1.607,-0.0
0.18,0,-17.956,-1.612,-0.0
0.18,0,-17.986,-1.617,-0.0
0.18,0,-18.015,-1.623,-0.0
0.18,0,-18.045,-1.628,-0.0
0.181,0,-18.075,-1.633,-0.0
0.181,0,-18.104,-1.639,-0.0
0.181,0,-18.134,-1.644,-0.0
0.182,0,-18.164,-1.65,-0.0
0.182,0,-18.193,-1.655,-0.0
0.182,0,-18.223,-1.66,-0.0
0.183,0,-18.253,-1.666,-0.0
0.183,0,-18.282,-1.671,-0.0
0.183,0,-18.312,-1.677,-0.0
0.183,0,-18.341,-1.682,-0.0
0.184,0,-18.371,-1.687,-0.0
0.184,0,-18.401,-1.693,-0.0
0.184,0,-18.43,-1.698,-0.0
0.185,0,-18.46,-1.704,-0.0
0.185,0,-18.49,-1.709,-0.0
0.185,0,-18.519,-1.715,-0.0
0.185,0,-18.549,-1.72,-0.0
0.186,0,-18.578,-1.726,-0.0
0.186,0,-18.608,-1.731,-0.0
0.186,0,-18.638,-1.737,-0.0
0.187,0,-18.667,-1.742,-0.0
0.187,0,-18.697,-1.748,-0.0
0.187,0,-18.727,-1.753,-0.0
0.188,0,-18.756,-1.759,-0.0
0.188,0,-18.786,-1.765,-0.0
0.188,0,-18.816,-1.77,-0.0
0.188,0,-18.845,-1.776,-0.0
0.189,0,-18.875,-1.781,-0.0
0.189,0,-18.904,-1.787,-0.0
0.189,0,-18.934,-1.792,-0.0
0.19,0,-18.964,-1.798,-0.0
0.19,0,-18.993,-1.804,-0.0
0.19,0,-19.023,-1.809,-0.0
0.191,0,-19.053,-1.815,-0.0
0.191,0,-19.082,-1.821,-0.0
0.191,0,-19.112,-1.826,-0.0
0.191,0,-19.141,-1.832,-0.0
0.192,0,-19.171,-1.838,-0.0
0.192,0,-19.201,-1.843,-0.0
0.192,0,-19.23,-1.849,-0.0
0.193,0,-19.26,-1.855,-0.0
0.193,0,-19.29,-1.86,-0.0
0.193,0,-19.319,-1.866,-0.0
0.193,0,-19.349,-1.872,-0.0
0.194,0,-19.378,-1.878,-0.0
0.194,0,-19.408,-1.883,-0.0
0.194,0,-19.438,-1.889,-0.0
